Date,Location,Dead,Injured,Total,Description
10/12/18,"Spartanburg, South Carolina",0,6,6,Six people were injured in a shooting at a fast food restaurant. One suspect was arrested and another turned himself in to police. A third person is also suspected of being involved.[77]
10/12/18,"Las Vegas, Nevada (1)",0,4,4,Four people were wounded after being shot in central Las Vegas.[78]
10/8/18,"Birmingham, Alabama",0,4,4,Four people were injured when a person in a vehicle fired shots at them at an apartment complex.[79]
10/6/18,"Tulsa, Oklahoma",0,4,4,"A man fired into a crowd outside a bar during a fight, injuring four people. Another person fired a gun into the air to try to stop the fight, but did not injure anyone.[80]"
10/6/18,"Houston, Texas (3)",1,3,4,"People began firing from a vehicle at people in a gas station parking lot, killing one person in a vehicle and wounding three others. The shooting is suspected to be gang-related.[81]"
10/6/18,"Oakland, California (3)",0,6,6,"Two men began shooting during a dispute, injuring six people in total including each other. Both men were arrested.[82]"
10/4/18,"Española, New Mexico",1,3,4,"Several people began firing at teenagers in a car, killing one and wounding three. Police believe they were targeting people with whom they had been in a dispute on social media, and that the teenagers were mistakenly targeted. Seven suspects were arrested on various charges related to the shooting, including three people charged with first-degree murder.[83]"
10/4/18,"Swainsboro, Georgia",0,4,4,Four people were wounded when they were injured in a gang-related shooting.[84]
10/3/18,"Florence, South Carolina",2,6,8,"Florence, South Carolina shooting: Officers were shot at during a two-hour standoff while attempting to execute a search warrant in which the perpetrator held children hostage, killing two and wounding six before being arrested.[85]"
10/3/18,"Philadelphia, Pennsylvania (8)",1,4,5,One person was killed and four others were injured in a drive-by shooting outside of a store.[86]
10/1/18,"Chicago, Illinois (23)",2,2,4,"A man began firing a gun inside a vehicle, killing two passengers and wounding another passenger and the driver. He was arrested.[87]"
9/24/18,"Memphis, Tennessee (6)",3,2,5,"A fight at an apartment complex, reportedly got out of control and three people were killed and two women wounded.[88]"
9/21/18,"Aberdeen, Maryland",4,3,7,"Aberdeen, Maryland Shooting: An employee of the Rite AidDistribution facility killed three victims before wounding herself. The shooter died later in the hospital.[89]"
9/20/18,"Masontown, Pennsylvania",1,4,5,A gunman opened fire in a municipal building and wounded four people before being shot by officer who responded to the incident.[90]
9/20/18,"Middleton, Wisconsin",1,3,4,"A gunman opened fire at the WTS Paradigm software company and wounded three people. The gunman was injured in a shootout with the police, and later died in the hospital.[91]"
9/17/18,"Silver Spring, Maryland",4,1,5,"A father shot and killed his wife and two children, and injured his adult stepdaughter, before he committed suicide.[92]"
9/13/18,"Bakersfield, California",6,0,6,"54-year-old Javier Casarez, armed with a .500-caliber Smith & Wesson Model 500 revolver, opened fire at three locations after following a witness to another store and then to a private home. He killed two women and three men before carjacking a woman and child, and committing suicide when police approached.[93]"
9/6/18,"Cincinnati, Ohio (2)",4,2,6,"Fifth Third Center Shooting: A gunman entered a loading dock at the Fifth Third Center skyscraper and opened fire before entering the lobby of a building. Four people, including the shooter, were killed and two were injured.[94]"
9/2/18,"San Bernardino, California (2)",0,8,8,Eight people were wounded during a shooting at a dice game at an apartment complex.[95]
9/1/18,"Cleveland, Ohio (4)",1,7,8,Eight people were shot at a nightclub. Police arrived and found a woman with a gunshot wound to the head at the back of the bar. She later died at a hospital.[96]
8/27/18,"Pine Bluff, Arkansas (2)",1,3,4,"An unidentified individual fired from a vehicle on a group of people standing outside a home, killing one and injuring three.[97]"
8/26/18,"Jacksonville, Florida (3)",3,11,14,"Jacksonville Landing Shooting: A gunman killed two people and wounded eleven more at a Madden NFL 19 competition before killing himself. The shooter was identified as David Katz, an individual who had reportedly been eliminated from the competition before the shooting.[98][99][100]"
8/26/18,"Wichita Falls, Texas",1,3,4,"One person was killed and three others were wounded inside a residence. Authorities took a man into custody in connection with the shooting. According to reports, the deceased victim was shot in the chest.[101][102]"
8/25/18,"Nashville, Tennessee (3)",1,4,5,Two gunmen reportedly shot five people outside a residence. One victim was shot in the chest and later died at Vanderbilt University Medical Center.[103]
8/25/18,"Richmond, Virginia (2)",0,6,6,"Five people were shot and wounded during an armed robbery of Liquid Café. One other individual had an unspecified injury ""by other means"" than gunfire.[104][105]"
8/23/18,"Philadelphia, Pennsylvania (7)",0,4,4,Four people were injured during a shooting in the Oxford Circleneighborhood of Philadelphia.[106][107]
8/22/18,"St. Louis, Missouri (7)",0,4,4,"A rapper's tour van ""came under fire"" on I-64 after a concert at around 11:05 PM. Four people were injured. It's not clear if the rapper himself was shot.[108][109]"
8/21/18,"Memphis, Tennessee (5)",0,6,6,"Six people were wounded by gunfire in a shooting outside of an apartment complex, following a large fight in the same location the previous day. One of the wounded men was arrested, but charges against him were later dropped.[110]"
8/20/18,"Jackson, Tennessee",1,4,5,Five people were injured in a shooting at a bar. One of the victims later died of his injuries.[111][112]
8/20/18,"Cleveland, Ohio (3)",1,3,4,A fight over drugs resulted in one person being killed and three others being wounded.[113][114]
8/19/18,"Chicago, Illinois (22)",0,5,5,Five were wounded in a shooting after a softball game in the Grand Crossing neighborhood of Chicago.[115]
8/19/18,"Detroit, Michigan (4)",1,3,4,One person was killed and three others were wounded in a drive-by shooting at a family gathering.[116][117]
8/18/18,"Trenton, New Jersey (2)",0,5,5,"Four people were wounded by gunfire following an event where school supplies were distributed to children. A fifth person, a child, received minor injuries after being struck by a dirt bikeoperated by one of the attackers.[118]"
8/18/18,"New York City, New York (5)",0,4,4,Four people were injured during gunfire during a drive-by shooting following a fight in a Bronx lounge.[119]
8/17/18,"Chicago, Illinois (21)",0,7,7,Seven people were wounded in a shooting in the Englewoodneighborhood of Chicago.[120]
8/15/18,"Greenwood, South Carolina",0,5,5,Five people were injured when they were shot during a backyard gathering to mourn the death of a family member who had died in a car accident earlier that month.[121]
8/14/18,"Wyncote, Pennsylvania",0,5,5,"After a dispute at a grocery store checkout line, a man pulled a handgun from his sister's waistband and wounded five people. The suspect was arrested.[122]"
8/12/18,"Clearlake, California",4,1,5,A father killed three of his children and wounded the fourth before killing himself.[123]
8/12/18,"Pittsburgh, Pennsylvania (1)",0,4,4,A woman shot and injured four people in a street fight in the East Liberty neighborhood of Pittsburgh. She later turned herself in to police.[124]
8/11/18,"Columbus, Ohio",0,4,4,Two adults and two children were wounded in a shooting at a party at a park in north Columbus.[125]
8/11/18,"San Francisco, California (3)",1,4,5,One person was killed and four others were shot in an early-morning shooting in the Crocker-Amazon neighborhood of San Francisco.[126]
8/11/18,"Thornton, Colorado",1,3,4,"After being kicked out of a sports bar following several fights, a man returned with a gun and killed a bartender. Three others were wounded by gunfire. The shooter was taken into custody.[127]"
8/10/18,"St. Louis, Missouri (6)",0,4,4,A man wounded four people at a gas station after shooting at them from his truck. He was arrested by police.[128]
8/10/18,"Detroit, Michigan (3)",0,4,4,Four people were wounded by a gunman who was later taken into custody.[129]
8/8/18,"Paterson, New Jersey",0,4,4,Four people were wounded by a gunman.[130]
8/8/18,"Philadelphia, Pennsylvania (6)",2,4,6,Two people were killed and four were injured in a drive-by shooting in North Philadelphia.[131]
8/5/18,"Chicago, Illinois (20)",1,4,5,One person was killed and four were injured in the Austinneighborhood of Chicago.[132]
8/5/18,"Chicago, Illinois (19)",0,4,4,Four people were wounded at Humboldt Park when they were shot at by two people in a car.[133]
8/5/18,"Chicago, Illinois (18)",0,4,4,Four people were wounded by gunfire at a house party.[134]
8/5/18,"Chicago, Illinois (17)",0,8,8,Eight people were wounded when a group of men approached them in a courtyard and began shooting.[135]
8/5/18,"Chicago, Illinois (16)",1,5,6,Two shooters killed one person and wounded five others when they began shooting at a group standing on a sidewalk.[136]
8/4/18,"Kansas City, Missouri",0,6,6,Six people were shot when a man pulled a handgun from his waistband during a fight. The suspect was taken into custody.[137]
8/4/18,"North Las Vegas, Nevada (1)",0,6,6,Six people were injured during a shooting at a house party.[138]
8/4/18,"Chicago, Illinois (15)",1,3,4,One person was killed and three were injured in the Austinneighborhood of Chicago.[139]
8/4/18,"Milwaukee, Wisconsin",0,4,4,Four people were injured when a gunman began shooting from a car at a group of people who were grilling and playing basketball in a park.[140]
7/31/18,"Gardena, California",2,3,5,"After becoming upset at a party, a man killed one person and wounded three others, including his girlfriend. He was driven from the scene by his friend and his friend's wife. He later shot and killed his friend, but his attempt to kill his friend's wife failed when his gun malfunctioned.[141]"
7/30/18,"Savannah, Georgia",0,4,4,Four people were injured when shots were fired during a dispute in a parking lot.[142]
7/30/18,"Chicago, Illinois (14)",0,4,4,Four people were injured in a drive-by shooting.[143]
7/29/18,"York, Pennsylvania",0,4,4,Four people were injured in a shooting.[144]
7/29/18,"Phoenix, Arizona",1,4,5,One person was killed and four were injured in a shooting following a verbal altercation at an inn.[145]
7/29/18,"Lansing, Michigan",0,4,4,Four people were injured when they were shot after a fight broke out.[146]
7/28/18,"New Orleans, Louisiana (6)",3,7,10,Two gunmen killed three people and injured seven others in a shooting at a daiquiri shop.[147]
7/28/18,"Los Angeles, California (4)",2,4,6,Two people were killed and six were injured in a drive-by shooting by a liquor store.[148]
7/27/18,"Chicago, Illinois (13)",0,4,4,Three children and an adult were injured in a shooting.[149]
7/27/18,"Robstown, Texas",5,0,5,"A man killed his father and stepmother, as well as their adopted son and his stepmother's son, before killing himself in a murder–suicide at a nursing home.[150]"
7/26/18,"Cleveland, Ohio (2)",1,6,7,One person was killed and six were injured in a shootout involving multiple gunmen at a bar after the filming of a rap music video.[151]
7/26/18,"Oakland, California (2)",2,2,4,"A gunman shot at a moving car, killing two occupants and injuring the other two.[152]"
7/26/18,"Dallas, Texas (2)",0,6,6,Six people were injured in a drive-by shooting.[153]
7/25/18,"New Orleans, Louisiana (5)",0,4,4,Four people were injured when a truck pulled up beside a car and one or more of its occupants began shooting. A suspect was arrested.[154]
7/23/18,"Chicago, Illinois (12)",0,5,5,Five people were wounded when someone began firing at them while they stood on a sidewalk.[155]
7/21/18,"Baltimore, Maryland (3)",0,4,4,Four people were wounded in a shooting.[156]
7/21/18,"Chicago, Illinois (11)",2,5,7,Two people were killed and five injured when they were shot by four gunmen in a park.[157]
7/20/18,"Sunnyside, Washington",1,4,5,One person was killed and four were injured after a shooter opened fire into a backyard party.[158]
7/20/18,"Elizabeth, New Jersey",0,4,4,Four people were wounded when three gunmen began shooting at them at a restaurant.[159]
7/18/18,"Oklahoma City, Oklahoma (2)",0,4,4,"Four people were wounded when shots were fired during a large fight in an apartment complex. Four people were arrested on other charges, but the shooter or shooters were not identified.[160]"
7/16/18,"Palm Beach Gardens, Florida (3)",2,4,6,Two people were killed and four others were injured when a gunman began shooting at them while they were standing in a yard.[161]
7/16/18,"Philadelphia, Pennsylvania (5)",1,4,5,Two gunmen killed one person and injured four others.[162]
7/16/18,"Washington, District of Columbia (5)",1,4,5,"Masked men drove up in a car and began shooting into a crowd, killing a ten-year-old girl and injuring three others.[163] Three people were arrested in relation to the shooting.[164]"
7/15/18,"Denver, Colorado (1)",0,4,4,Four people were wounded during a shooting following a fight at a party.[165]
7/15/18,"Chattanooga, Tennessee",0,5,5,Five people were injured when a shooter fired into a group of people gathered in a parking lot outside a club.[166]
7/14/18,"Fort Washington, Maryland",0,4,4,Four people were injured in a shooting.[167]
7/13/18,"Richmond, Virginia (1)",1,3,4,One person was killed and three people were wounded in a shooting outside a nightclub in Scott's Addition.[168]
7/12/18,"Memphis, Tennessee (4)",0,5,5,Five people were wounded in a shooting near a community center. Police believe the shooting was spurred by an earlier fight over a dice game.[169]
7/11/18,"Houston, Texas (2)",0,4,4,Four people were injured in a drive-by shooting while they were inside their car at restaurant.[170]
7/11/18,"Reddick, Florida",0,4,4,"Gunmen injured four people—two inside a mobile home, and two in separate vehicles outside of the home.[171]"
7/9/18,"Prices Corner, Delaware",5,0,5,A man killed his wife and three children in their home before killing himself in a murder–suicide.[172][173]
7/9/18,"Orlando, Florida (3)",1,4,5,"Following a fight, a man was killed and four other people were injured by gunshots. Two people were arrested.[174]"
7/8/18,"Lowndes County, Alabama",0,6,6,"Six people, including a suspect, were wounded during a shooting at a bar.[175]"
7/8/18,"Memphis, Tennessee (3)",0,4,4,Four people were injured in a shooting.[176]
7/7/18,"Wetumpka, Alabama",3,2,5,A man killed his wife and one of his children and wounded his other two children before setting the house on fire and killing himself in a murder–suicide.[177]
7/5/18,"New York City, New York (4)",0,4,4,Four people were injured in Brooklyn when they were shot at while standing outside.[178]
7/5/18,"Albany, New York",0,4,4,Four people were injured in a shooting.[179]
7/5/18,"Los Angeles, California (3)",3,3,6,Three people were killed and three others were wounded during a Fourth of July party. Police believe the shooting was gang-related.[180]
7/5/18,"Virginia Beach, Virginia (2)",0,6,6,Six people were injured while walking down the street. A suspect was taken into custody.[181]
7/5/18,"Lima, Ohio (1)",1,5,6,One person was killed and five were injured in a shooting at a Fourth of July party.[182]
7/4/18,"Gary, Indiana (2)",1,3,4,One person was killed and three were wounded.[183]
7/4/18,"Atlanta, Georgia (1)",1,3,4,"After a bar fight spilled into a parking lot, shots were fired, killing one person and wounding three others.[184]"
7/3/18,"St. Louis, Missouri (5)",1,5,6,One person was killed and five others were wounded in a drive-by shooting.[185]
7/3/18,"Washington, District of Columbia (4)",0,4,4,Four people were injured in a shooting.[186]
7/2/18,"Buffalo, New York (3)",2,2,4,"A woman and a 17-month-old child were killed in a shooting that injured two others. One person was taken into custody, although police suspect others were involved. Police believe the shooting was gang-related.[187]"
7/1/18,"Chicago, Illinois (10)",0,6,6,"Six people were injured when a gunman opened fire on three people on a sidewalk. In addition to the three people on the sidewalk, three children in a car were wounded.[188]"
6/30/18,"Ashburn, Georgia",1,6,7,"Several shooters fired into a crowd that was fleeing a nightclub, killing one person and injuring six. Police arrested one suspect, and believe the shooting was gang-related.[189]"
6/30/18,"Baltimore, Maryland (2)",0,6,6,Six people were injured at a barbecue when an unknown person walked into the yard and began firing.[190]
6/30/18,"Jersey City, New Jersey (1)",0,5,5,Five people were injured when several people began exchanging gunfire. One suspect was arrested.[191]
6/28/18,"Annapolis, Maryland",5,2,7,Capital Gazette shooting: A gunman entered the offices of The Capital Gazette and killed five employees and wounded two others.[192][193]
6/27/18,"Oakland, California (1)",1,3,4,One person was killed and three were injured when at least one person began shooting at them outside a mini-mart.[194]
6/27/18,"San Antonio, Texas (2)",0,4,4,"During an argument between neighbors, two people drew weapons and wounded four people. One suspect was arrested.[195]"
6/27/18,"Hartford, Connecticut",0,4,4,Four victims were injured in a drive-by shooting outside a bodega.[196]
6/25/18,"Chicago, Illinois (9)",0,6,6,Six people were injured when a gunman began firing upon them as they stood near a park.[197]
6/24/18,"Sanford, North Carolina",1,6,7,One person was killed and six were injured during a fight at a birthday party. One of the wounded was arrested.[198]
6/24/18,"Punta Gorda, Florida",0,4,4,Four people were wounded when an uninvited guest at a birthday party at an event center began shooting.[199]
6/24/18,"Indiantown, Florida",0,4,4,Four people were injured in a shooting at a block party.[200]
6/24/18,"Palm Beach Gardens, Florida (2)",1,3,4,One person was killed and three were injured in a shooting.[201]Six teenage suspects were arrested in relation to the shooting after leading police on a car chase.[202]
6/24/18,"Gary, Indiana (1)",1,3,4,One person was killed and three were wounded in a shooting.[203]
6/24/18,"Sandusky, Ohio",0,5,5,"After several fights inside a bar led the bar owner to close for the night, the fights continued outside before escalating to a shooting in which five people were wounded.[204]"
6/23/18,"Wichita, Kansas",0,4,4,Four people were injured in a gang-related shooting.[205]
6/23/18,"Chicago, Illinois (8)",1,4,5,One person was killed and four others were injured after being shot at from a vehicle.[206]
6/23/18,"Covington, Tennessee",0,4,4,Four people were injured in a shooting.[207]
6/22/18,"Homestead, Pennsylvania",1,3,4,One person was killed and three were injured when their car was shot at from another car.[208]
6/21/18,"San Bernardino, California (1)",1,3,4,One person was killed and three were wounded in a fight that progressed to a shooting outside of a liquor store.[209]
6/21/18,"Morganza, Louisiana",0,4,4,Four people were wounded in a shooting.[210]
6/21/18,"Chicago, Illinois (7)",0,4,4,Four people were wounded in a shooting.[211]
6/20/18,"Modesto, California (2)",0,5,5,Five people were injured when someone drew a gun and began shooting during a fight.[212]
6/19/18,"Huntsville, Alabama (2)",0,4,4,A man returned after an argument and wounded four people. He was later taken into custody.[213]
6/18/18,"Chicago, Illinois (6)",2,3,5,Two people were killed and three people were injured in a shooting after a fight at a party.[214]
6/18/18,"Bloomington, Illinois (2)",3,1,4,Three people were killed and a four-year-old child was wounded in a shooting.[215]
6/17/18,"Charlotte, North Carolina",0,4,4,Four people were injured in a shooting at a gas station.[216]
6/17/18,"Trenton, New Jersey (1)",1,22,23,Art All Night shooting: Multiple gunmen wounded 17 people at the Art All Night festival. Five others were wounded when they were trampled by people around them. One of the suspected gunmen was shot and killed by police. Police suspect the shooting was gang-related.[217]
6/17/18,"Macon, Georgia",1,3,4,A teenager was killed and three other people were injured in a drive-by shooting during a cookout. A 15-year-old was later charged with the killing.[218]
6/17/18,"Chicago, Illinois (5)",0,4,4,A gunman walked up to and wounded four people standing on the street.[219]
6/14/18,"Philadelphia, Pennsylvania (4)",0,4,4,Four people were injured in a shooting.[220]
6/14/18,"Union City, California",0,5,5,Five people were injured in a shooting that took place in a cemetery.[221]
6/14/18,"Tracy, California",1,4,5,A fight turned into a shooting that resulted in a 15-year-old being killed and four other people being injured.[222]
6/14/18,"Buffalo, New York (2)",1,4,5,One person was killed and four were wounded in a drive-by shooting.[223]
6/14/18,"Westminster, Colorado",1,3,4,"A 13-year-old boy was killed, and his mother, 8-year-old brother, and a bystander were wounded in a road rage incident after the shooter followed them to the parking lot of a dentist's office. The shooter was arrested.[224]"
6/12/18,"New York City, New York (3)",0,4,4,Four people were injured in a shooting in the Bronx.[225]
6/11/18,"Montgomery, Alabama",0,4,4,Four people were injured in a shooting after a verbal altercation. Three suspects were arrested.[226]
6/11/18,"Orlando, Florida (2)",5,1,6,"After barricading himself and his four children in a home for nearly 24 hours, a man shot and wounded a police officer before killing the four children and himself.[227]"
6/10/18,"Bradenton, Florida",1,5,6,One person was killed and five others were injured after a fight in a bar moved outside and a member of one of the groups began shooting.[228]
6/10/18,"Valley Village, California",0,6,6,Six people were injured by gunfire at a birthday party.[229]
6/10/18,"Indianapolis, Indiana (2)",1,4,5,A 14-year-old boy was killed and four other people were wounded at a party. A 14-year-old boy was arrested in connection to the shooting.[230]
6/10/18,"Aurora, Illinois",0,7,7,"Seven people were injured after gunfire broke out at a party. Several men arrived at the home and began to shoot, and an attendee at the party shot back. The police believe the incident was gang-related.[231]"
6/10/18,"Bloomington, Illinois (1)",2,2,4,Two people were killed and two others were wounded after a shooting at a birthday party. The suspect was later taken into custody.[232]
6/10/18,"Chicago, Illinois (4)",1,5,6,One person was killed and five others were injured in a drive-by shooting.[233]
6/9/18,"Boston, Massachusetts",0,4,4,Four people were injured in a shooting at a house party.[234]
6/9/18,"Kannapolis, North Carolina",0,4,4,Four people were wounded after a gunman began shooting outside a high school graduation party.[235]
6/9/18,"Philadelphia, Pennsylvania (3)",1,4,5,Four or five gunmen killed one person and injured four others.[236]
6/5/18,"Jacksonville, Florida (2)",3,1,4,Three men was killed and a fourth was injured after a car pulled up alongside theirs and the occupant began shooting.[237]
6/3/18,"Dallas, Texas (1)",0,5,5,"After an argument at a football game, a man drove a moped into the middle of the field and began to fire a gun. Multiple people then began firing at the shooter. Five people were injured in the exchange of gunshots.[238]"
6/3/18,"Chicago, Illinois (3)",1,3,4,One person was killed and three others were wounded by two gunmen in a drive-by shooting.[239]
6/2/18,"Omaha, Nebraska (3)",1,6,7,One person was killed and six others were injured in a shooting. A suspect was taken into custody.[240]
6/2/18,"Buffalo, New York (1)",0,5,5,Five people were injured in a shooting at an outdoor gathering.[241]
5/31/18,"Timmonsville, South Carolina",3,2,5,"A man killed a woman and two of her daughters, and injured her husband and her third daughter, when he shot them at their home. He has been arrested.[242]"
6/4/18,"Scottsdale, Arizona",7,0,7,"2018 Scottsdale shootings: Over the course of several days (May 30, 2018 to June 4, 2018), a man killed a forensic psychologist, two paralegals, a counselor, and a couple from whom he took a handgun. The suspect killed himself when police began closing in on him.[243][244]"
