2020 date,City,State,Dead,Injured,Total,Description
11/1/20,Rochester(5),New York,2,2,4,"Two men were killed and two wounded outside an apartment building that was hosting a Halloween party, in the early morning.[88]"
11/1/20,Tucson,Arizona,2,2,4,Two men were killed and two wounded in the desert near Tucson International Airport in the early morning.[89]
10/31/20,Sacramento(5),California,0,4,4,Four people were wounded in a drive-by shooting in the Natomas area. Those wounded had gathered at a home there.[90]
10/31/20,Sumner,Washington,0,5,5,"Five people were wounded after an argument escalated outside of a house party, shortly after midnight.[91]"
10/31/20,Anaheim,California,0,4,4,Four people were wounded in an early morning shooting at a strip club. The shooter pulled up outside the club and opened fire.[92]
10/31/20,College Park,Maryland,0,7,7,Seven people were wounded at a party held in a hotel room at the University of Maryland.[93]
10/31/20,Las Vegas(2),Nevada,0,4,4,"Four people were shot in a neighborhood, at a believed house party after a dispute escalated. The wounded are believed to be teenagers.[94]"
10/30/20,Waldorf,Maryland,1,3,4,Two groups of men got into a dispute inside a cigar and hookah loungeand the argument escalated. One man was killed and three injured.[95]
10/30/20,Chicago(48),Illinois,1,3,4,A man was killed and two adults and a sixteen-year-old were injured after a man entered a home in Morgan Park and opened fire. Police believe the shooting was drug related.[96]
10/29/20,Winter Garden,Florida,0,4,4,"A patrol officer discovered four people wounded after an argument escalated late at night. One of the victims has a concealed weapons permit, but officers are unsure who actually fired.[97]"
10/28/20,Newark (3),New Jersey,1,3,4,One individual was killed and three others wounded after a heated argument escalated.[98]
10/28/20,Roanoke,Virginia,0,4,4,Officers responded to a report of multiple shots fired and found four individuals wounded in a home.[99]
10/26/20,Bessemer,Alabama,1,3,4,An eighteen-year-old was killed and three other teens were wounded in a house during the evening.[100]
10/25/20,Fort Worth(2),Texas,2,3,5,A fight broke out at an early morning house party and escalated. Two men were killed and three others wounded.[101]
10/25/20,San Antonio(7),Texas,0,4,4,A dispute potentially near I-35 escalated and four people within a car were shot. The car crashed a short time later. Three adults and a thirteen-year-old were wounded and three additional children were not injured.[102]
10/25/20,Raleigh (2),North Carolina,1,3,4,Four men were shot in the early morning. Two men were later arrested for the shooting and a wounded man died later at the hospital.[103]
10/24/20,Greenwood,Mississippi,2,8,10,A gunman walked into a family's front yard and opened fire on a family gathering shortly before midnight. The family had gathered for a funeral and two were killed and eight wounded.[104]
10/22/20,Miami (3),Florida,1,3,4,Shortly before midnight someone opened fire in a Miami neighborhood. A man was killed and two adults and an infant girl were wounded.[105]
10/22/20,Boston (3),Massachusetts,0,4,4,Officers responded to a ShotSpotter alert and multiple 911 calls and found two individuals wounded. An additional two transported themselves to the hospital.[106]
10/22/20,Baltimore(10),Maryland,0,4,4,Three men and a woman were wounded in a shooting shortly after midnight.[107]
10/22/20,Rayne,Louisiana,0,5,5,A vehicle with six passengers – two adults and four juveniles – was traveling on I-10 when a car next to them opened fire. Five people in the car were wounded.[108]
10/21/20,New York City (21),New York,1,5,6,A man was killed and five other people were wounded in a drive-by shooting in Prospect Lefferts Gardens in Brooklyn.[109]
10/21/20,Canton,Mississippi,1,3,4,A gunman ambushed four people waiting in a car at a McDonald's drive through. One person in the car was killed and two adults and a thirteen-year-old were injured.[110]
10/20/20,Houston(11),Texas,3,1,4,An argument at a local open-mike night for rappers at a club escalated when at least two people opened fire. Three men were killed and one injured.[111]
